"sitename","datasetid","signal_onset_age","n_samples_window","n_baseline","n_post","pastoral_base_mean","arable_base_mean","forest_base_mean","pastoral_first_change_age","arable_first_change_age","forest_first_change_age","pastoral_lead_yr","arable_lead_yr","forest_lead_yr","pastoral_effect_size","arable_effect_size","forest_effect_size","first_signal","forest_no_ulmus_lead"
"Abernethy Forest",3864,6824,14,7,7,6.74,0.03,1.14,7012,6448,NA,188,-376,NA,18.59,0,-0.85,"pastoral",NA
"Abernethy Forest",3865,6946,20,14,6,3.02,0.2,2.55,6295,NA,NA,-651,NA,NA,-1.16,-0.06,-0.17,"pastoral",NA
"Allt na Feithe Sheilich",3879,6886,10,4,6,14.45,0,2.56,NA,NA,6886,NA,NA,0,-6.67,0,-0.77,"pastoral",NA
"Aveley marshes",41212,6748,35,8,27,12.02,0.69,20.51,NA,NA,NA,NA,NA,NA,-4.18,-0.06,-3.56,"none",NA
"Ballynahatty bog",45223,5475,41,32,9,4.09,0.03,11.5,5475,NA,NA,0,NA,NA,6.99,0.15,-2.03,"pastoral",NA
"Cam Loch",3970,2783,9,6,3,20.07,0,0.91,934,NA,NA,-1849,NA,NA,-4.69,0,-0.84,"pastoral",NA
"Church Moor",52113,6939.939,51,28,23,5.75,2.61,15.85,NA,NA,NA,NA,NA,NA,0.38,-0.34,1.62,"none",NA
"Clara Bog",14177,6634,30,9,21,6.39,0,10.77,NA,NA,NA,NA,NA,NA,6.17,0,4.48,"none",NA
"Coire Bog",3993,5642,10,5,5,17.2,0.16,1.47,4669,5155,NA,-973,-487,NA,-31.02,-0.21,-0.59,"arable",NA
"Comerslade",41228,6595,16,6,10,5.66,0,7.63,6065,NA,NA,-530,NA,NA,-0.38,0,3.29,"pastoral",NA
"Cookley",52101,6728.068,19,6,13,3.95,0,10.07,NA,NA,NA,NA,NA,NA,0.16,0,14.7,"none",NA
"Cornaher Lough",14512,1456,37,21,16,17.19,1.17,13.56,135,NA,NA,-1321,NA,NA,5.75,-0.93,-2.36,"pastoral",NA
"Cranes Moor",41222,6906,100,67,33,9.72,2.31,27.26,NA,NA,NA,NA,NA,NA,0.73,0.38,-0.71,"none",NA
"Dallican Water",4012,5366,33,17,16,20.4,0,6.94,NA,NA,5366,NA,NA,0,-8.16,0,-2.56,"pastoral",-1083
