"region","threshold","n_sites","n_h1","pct_h1_strict","n_h3","pct_h3","n_pastoral_first","pct_pastoral_first"
"UK","1.5SD",61,40,65.6,21,34.4,34,85
"UK","2SD",61,35,57.4,26,42.6,30,85.7
"UK","2.5SD",61,32,52.5,29,47.5,27,84.4
"UK","3SD",61,30,49.2,31,50.8,25,83.3
"Scandinavia","1.5SD",207,135,65.2,72,34.8,96,71.1
"Scandinavia","2SD",207,120,58,87,42,81,67.5
"Scandinavia","2.5SD",207,109,52.7,98,47.3,73,67
"Scandinavia","3SD",207,100,48.3,107,51.7,69,69
"CE","1.5SD",63,47,74.6,16,25.4,35,74.5
"CE","2SD",63,43,68.3,20,31.7,32,74.4
"CE","2.5SD",63,39,61.9,24,38.1,24,61.5
"CE","3SD",63,36,57.1,27,42.9,21,58.3
