"datasetid","sitename","lat","lon","lag","region","total_bc"
3864,"Abernethy Forest",57.23528,-3.71056,1012,"UK",0.590933646250523
3865,"Abernethy Forest",57.23528,-3.71056,295,"UK",0.503620017553029
45223,"Ballynahatty bog",54.54417,-5.95306,-525,"UK",0.416919010345426
3970,"Cam Loch",NA,NA,-5066,"UK",0.505441887144285
3993,"Coire Bog",57.83849,-4.38319,-1331,"UK",0.505361764698935
41228,"Comerslade",51.12028,-3.80472,65,"UK",0.27930875222192
14512,"Cornaher Lough",NA,NA,-5865,"UK",0.656079514715375
41189,"Gallanech Beg",56.38444,-5.50139,-172,"UK",0.34652337742131
4095,"Hockham Mere",52.5,0.83333,-1038,"UK",0.339740327784936
4095,"Hockham Mere",52.5,0.83333,-1038,"UK",0.333041220035407
14110,"Kelly's Lough",NA,NA,505,"UK",0.273177912540763
4150,"King's Pool",NA,NA,-1319,"UK",0.566220412407716
41411,"Le Loch Sunart",56.66667,-5.86667,-1634,"UK",0.244643068872212
44896,"Llyn Cororion",NA,NA,-4755,"UK",0.628089538863831
22709,"Loch Cleat",57.6225,-6.27778,-437,"UK",0.291149500248655
4190,"Loch Dungeon",55.13475,-4.30761,-2022,"UK",0.303555848172176
22741,"Loch Meodal",NA,NA,-20,"UK",0.345144033648006
4421,"Loch Sionascaig",NA,NA,-3500,"UK",0.436039485838936
4478,"Loch Tarff",NA,NA,-3380,"UK",0.482959134013294
16217,"Lough Moynagh",NA,NA,-39,"UK",0.285479144253318
49126,"Rannoch Forest",56.69269,-4.46775,-593.1,"UK",0.356309115776326
41241,"Round Loch of Glenhead",55.09344,-4.43026,-1751,"UK",0.29500396527692
41310,"Stonetor Brook",50.65556,-3.91,-420,"UK",0.254977166504077
19913,"Abborrtjärnen",63.88333,14.45,-4128,"Scandinavia",0.3468
45349,"Afstj¢rna",61.64917,9.87667,-4260,"Scandinavia",0.2957
12,"Ageröds Mosse",NA,NA,-768,"Scandinavia",0.7651
45314,"Alanen Laanijärvi",67.96611,20.46028,322,"Scandinavia",0.1528
20037,"Barheivatn",NA,NA,-2590,"Scandinavia",0.2295
52429,"Belauer See",54.09854,10.25111,-3452,"Scandinavia",0.3499
3931,"Bjärsjöholmssjön",NA,NA,598,"Scandinavia",0.1046
20046,"Brurskardtjørni",61.41667,8.66667,-2167,"Scandinavia",0.251
53995,"Bussjösjön",55.46667,13.81667,-983.1,"Scandinavia",0.605
4011,"Dags Mosse",58.32288,14.70652,321,"Scandinavia",0.5059
45725,"Dalane",NA,NA,-3338,"Scandinavia",0.3023
22847,"Darzlubie Forest",54.70555,18.16208,-3112,"Scandinavia",0.5058
4019,"Dolgoe",55.23333,28.18333,408,"Scandinavia",0.3519
720,"Domsvatnet",NA,NA,-3619,"Scandinavia",0.3107
20012,"Donvold",68.13333,13.58333,-1521,"Scandinavia",0.7152
49616,"Eini peatland",56.85306,26.88722,1106.988,"Scandinavia",0.4835
49636,"Eipurs bog",57.24806,24.61667,-2762.951,"Scandinavia",0.6614
4041,"Flaatevatn",NA,NA,-3630,"Scandinavia",0.3747
54024,"Flinkasjön",56.25444,13.24333,-4399.7,"Scandinavia",0.2193
45710,"Flotatjønn",NA,NA,-2238,"Scandinavia",0.1724
4037,"Färskesjön",56.15907,15.86049,-1555,"Scandinavia",0.1689
