"sitename","datasetid","lat","lon","n_samples","n_baseline","n_post","baseline_bc_mean","baseline_bc_sd","threshold","signal_onset_age","signal_onset_bc","n_exceed_after_onset","pct_exceed_after"
"Abernethy Forest",3864,57.23528,-3.71056,34,12,22,0.2568,0.1351,0.5271,6824,0.5552,21,95.5
"Abernethy Forest",3865,57.23528,-3.71056,27,21,6,0.3,0.0782,0.4564,6946,0.5538,5,83.3
"Allt na Feithe Sheilich",3879,57.31333,-3.90841,27,6,21,0.158,0.06,0.2779,6886,0.4609,15,71.4
"Aveley marshes",41212,51.49222,0.2225,65,5,60,0.2172,0.0728,0.3628,6748,0.3742,41,71.9
"Ballynahatty bog",45223,54.54417,-5.95306,68,32,36,0.1658,0.0732,0.3121,5475,0.4471,12,92.3
"Bigholm Burn",41233,55.12028,-3.0725,25,5,20,0.2084,0.0317,0.2719,6345,0.3281,20,100
"Black Lough",14529,NA,NA,102,78,24,0.5279,0.0778,0.6834,NA,NA,0,0
"Cam Loch",3970,NA,NA,28,9,19,0.2761,0.0925,0.4611,2783,0.494,5,100
"Church Moor",52113,50.86111,-1.65083,122,40,82,0.2972,0.0855,0.4681,6939.939,0.4771,17,20.7
"Clara Bog",14177,NA,NA,70,14,56,0.3183,0.0637,0.4457,6634,0.4515,32,58.2
"Coire Bog",3993,57.83849,-4.38319,28,14,14,0.3741,0.111,0.5961,5642,0.7571,6,50
"Comerslade",41228,51.12028,-3.80472,40,6,34,0.1526,0.0398,0.2322,6595,0.2597,31,91.2
"Cookley",52101,52.41583,-2.24083,79,8,71,0.541,0.0897,0.7204,6728.068,0.7224,31,44.3
"Cooran Lane",3997,55.12629,-4.39004,29,16,13,0.2997,0.1034,0.5064,NA,NA,0,0
"Cornaher Lough",14512,NA,NA,70,9,61,0.379,0.1212,0.6215,1456,0.6657,12,75
"Cranes Moor",41222,50.82778,-1.72583,178,106,72,0.1807,0.0611,0.3028,6906,0.3907,22,31.4
"Dallican Water",4012,60.38736,-1.09648,72,22,50,0.2511,0.1097,0.4705,5366,0.4747,10,27
"Esgryn Bottom",41203,51.87611,-4.94194,42,17,25,0.3437,0.1106,0.5649,NA,NA,0,0
"Finnart mire",49120,56.66278,-4.40144,24,18,6,0.334,0.1451,0.6243,200,0.7263,1,100
"Gallanech Beg",41189,56.38444,-5.50139,118,56,62,0.2067,0.07,0.3467,6816,0.3606,56,91.8
"Glendalough Valley",17334,NA,NA,112,13,99,0.4447,0.082,0.6087,NA,NA,0,0
"Glendalough Valley",47005,NA,NA,112,13,99,0.4447,0.082,0.6087,NA,NA,0,0
"Gors Fawr Bog",41187,51.93167,-4.71833,33,19,14,0.2946,0.1113,0.5171,NA,NA,0,0
"Hawks Tor",4086,NA,NA,47,27,20,0.3101,0.0952,0.5006,6294,0.5363,10,76.9
"Hockham Mere",4095,52.5,0.83333,111,79,32,0.1189,0.0444,0.2077,6926,0.2276,31,100
"Kelly's Lough",14110,NA,NA,89,19,70,0.1287,0.0482,0.2252,6347,0.3233,67,100
