"datasetid","sitename","lat","lon","signal_onset_age","pastoral_exceed_age","arable_exceed_age","forest_exceed_age","first_index","has_pastoral","has_arable","total_bc","pastoral_arable_pct","climate_tree_pct","succession_tree_pct","wetland_pct","other_pct","classification"
342,"Selle di Carnino",44.15,7.69444,5882,4660,1928,5471,"forest",TRUE,TRUE,0.264184414572994,3.86485581825769,24.5523966468212,6.68473285585114,4.44611381564923,60.4519008634208,"H1_anthropogenic"
3869,"Plan du Laus",44.24167,6.70222,6843,2582,NA,NA,"pastoral",TRUE,FALSE,0.247927615120856,0.419582474422566,28.5521923395722,3.56875735258671,13.370698631074,54.0887692023445,"H1_anthropogenic"
3871,"Hières sur Amby",45.79083,5.28333,6907,427,5193,NA,"arable",TRUE,TRUE,0.612358543285237,1.16618607592405,14.6173611851663,23.5339892180589,7.33333780992477,53.349125710926,"H1_anthropogenic"
3872,"Ampoix",45.63333,2.93333,4953,4485,3392,4953,"forest",TRUE,TRUE,0.655749813287344,2.22378971083442,36.1817793191231,11.1498758227257,2.19942102751872,48.245134119798,"H1_anthropogenic"
3875,"Amsoldingersee",46.725,7.575,6400,5866,5282,6400,"forest",TRUE,TRUE,0.653213578855869,0.578416554049207,41.7492681896024,22.5724496582503,2.49963374092977,32.6002318571683,"H1_anthropogenic"
3887,"Aronde",49.4625,2.69111,6531,6531,2632,2908,"pastoral",TRUE,TRUE,0.391229176546477,3.13917897724312,39.1496883015648,4.30068786028283,20.0404976849288,33.3699471759804,"H1_anthropogenic"
3892,"Altenweiher",48.01333,6.99444,6969,4958,3367,NA,"pastoral",TRUE,TRUE,0.630259215373283,0.538196965966218,34.348051513807,18.7042583832948,0.919879681109238,45.4896134558227,"H1_anthropogenic"
3893,"Atxuri",43.25028,-1.55111,5790,1840,1840,5790,"forest",TRUE,TRUE,0.313719531524474,8.34646853304624,33.0694226769498,9.84603139707111,12.3877767038367,36.3503006890961,"H1_anthropogenic"
3894,"Auneau",48.45611,1.79361,6888,3011,5466,6727,"forest",TRUE,TRUE,0.327799818526881,1.44177745375423,34.9692028779593,17.877179390586,27.5976073886171,18.1142328890834,"H1_anthropogenic"
3900,"Basse-Ville",47.18611,-1.85806,6947,2370,6569,NA,"arable",TRUE,TRUE,0.512370705855321,1.43107430277025,6.10566196539204,41.1794671167739,14.0756050904454,37.2081915246183,"H1_anthropogenic"
3910,"Puerto de Belate",43.03333,-2.05,5878,5878,5750,5057,"pastoral",TRUE,TRUE,0.299673375584868,11.2172752522164,21.6000469975704,23.2685194341708,19.6331129107783,24.2810454052641,"H1_anthropogenic"
3911,"Puerto de Belate",43.03333,-2.05,6911,6911,6444,6444,"pastoral",TRUE,TRUE,0.310190945517201,18.0590488398211,9.6611888353429,8.30394585355372,9.35595241732686,54.6198640539554,"H1_anthropogenic"
3930,"Biot",43.8,7.1,5617,NA,NA,NA,"none",FALSE,FALSE,0.41392422877269,2.41057045907445,48.7112033597484,20.2389647788716,0.259205309062672,28.3800560932429,"H3_natural"
3935,"Bláto",49.04174,15.19097,6821,565,4744,6536,"forest",TRUE,TRUE,0.241601020864114,3.99750791358111,32.2848885784406,8.5113144986356,2.55629876999745,52.6499902393452,"H1_anthropogenic"
3938,"Bledowo Lake",52.54316,20.67577,5207,1011,1011,5207,"forest",TRUE,TRUE,0.199243673078819,9.84847476947484,43.3475677057526,14.7356681221562,0.176154412943468,31.8921349896728,"H1_anthropogenic"
3946,"Boehnigsee Goldmoos",46.25917,7.84306,6371,1970,6030,6371,"forest",TRUE,TRUE,0.298290622198119,3.8545752470609,33.6101994989416,10.8510305435849,5.92961896669098,45.7545757437217,"H1_anthropogenic"
3951,"Saint Michel de Braspart",48.41667,-3.66667,6177,6177,4418,6177,"pastoral",TRUE,TRUE,0.435451116095871,13.3592483030215,22.4844144953976,21.6918561071831,20.7525214179972,21.7119596764006,"H1_anthropogenic"
3972,"La Caudelais",47.25444,-1.80028,6859,6738,1546,5222,"pastoral",TRUE,TRUE,0.380894971214258,1.8235096401478,11.2727613072371,36.2124703909257,4.57885010193539,46.112408559754,"H1_anthropogenic"
3973,"Vallon de Provence",44.39111,6.40417,6879,NA,6344,2989,"arable",FALSE,TRUE,0.306803362159193,3.01318274143528,44.264277715709,1.03443473586114,5.40839172216414,46.2797130848305,"H1_anthropogenic"
3977,"Lac de Chambedaze",45.44444,2.87528,6664,5566,988,NA,"pastoral",TRUE,TRUE,0.628979542682137,7.91383014891729,8.5440893012293,13.6845080856686,0,69.8575724641848,"H1_anthropogenic"
3979,"Bois de la Masse",45.50139,2.74472,4998,1012,3879,NA,"arable",TRUE,TRUE,0.646578905751311,1.18445363318112,20.1513965453252,19.683327023203,8.15249340008347,50.8283293982073,"H1_anthropogenic"
4007,"Czajkow",NA,NA,2450,750,1500,2350,"forest",TRUE,TRUE,0.404939333603797,6.63215097734124,32.5831127705316,7.39889575248983,23.0652135649227,30.3206269347146,"H1_anthropogenic"
4008,"Czajkow",NA,NA,6519,6519,6519,6519,"pastoral",TRUE,TRUE,0.37401154889582,6.00908207297243,49.2324182520547,20.3517558831503,9.48875069535295,14.9179930964696,"H1_anthropogenic"
4009,"Czajkow",NA,NA,5764,5175,3102,5371,"forest",TRUE,TRUE,0.348779920652504,5.4454479053655,31.563060836926,13.5792587380303,22.2393628957067,27.1728696239715,"H1_anthropogenic"
4025,"Dvůr Anšov",NA,NA,4689,4574,4295,4689,"forest",TRUE,TRUE,0.458693376297899,2.07249922513903,25.814992575665,2.58443896709419,13.6097605041464,55.9183087279554,"H1_anthropogenic"
4028,"Embouchac",43.56639,3.91667,6502,5563,5124,6246,"forest",TRUE,TRUE,0.318915852212501,2.20314432724865,14.4834629338955,13.7941989757564,18.307992424454,51.2112013386454,"H1_anthropogenic"
4029,"Ennerie",47.24028,-2,6944,6892,NA,6429,"pastoral",TRUE,FALSE,0.159006516246013,8.19462860079775,10.0365352139002,22.512543322165,0.900723605152113,58.355569257985,"H1_anthropogenic"
4043,"Fletnowo",53.53813,18.64588,4836,4836,4677,NA,"pastoral",TRUE,TRUE,0.299679428751669,0.582979030155524,65.2993033924961,13.8964215912964,3.85168708814937,16.3696088979026,"H1_anthropogenic"
4045,"Flögeln",NA,NA,5822,5397,2197,5822,"forest",TRUE,TRUE,0.644836285118676,16.6230892248004,37.2326053010475,19.7673582740884,4.95681172837805,21.4201354716856,"H1_anthropogenic"
4056,"Le Fourneau",48.44444,-0.19167,6663,4272,4103,6050,"forest",TRUE,TRUE,0.416525656892846,2.10500584078733,29.8295107168606,25.0489485716204,1.72259786598727,41.2939370047444,"H1_anthropogenic"
4058,"Fuchsschwanzmoos",47.11667,13.9,6882,6439,5383,6882,"forest",TRUE,TRUE,0.39784686575506,0.83491924893926,6.69786800671598,10.2181942333387,2.58775586093225,79.6612626500738,"H1_anthropogenic"
4059,"Giecz",52.32201,17.3655,6300,5506,2039,5987,"forest",TRUE,TRUE,0.255432561502475,3.9003884175473,40.6863535343368,10.8380552379549,3.70354637833875,40.8716564318223,"H1_anthropogenic"
4064,"Bois des Gardes",45.41667,2.7,6277,6277,5575,NA,"pastoral",TRUE,TRUE,0.532826805701289,3.87877781641462,11.5614340181366,29.6876385792755,1.00885769501657,53.8632918911567,"H1_anthropogenic"
4086,"Hawks Tor",NA,NA,6294,NA,NA,NA,"none",FALSE,FALSE,0.56238645555301,5.16315354000406,15.3594429626666,4.49966651701292,36.8652594982415,38.1124774820749,"H3_natural"
4095,"Hockham Mere",52.5,0.83333,6926,5144,2148,6869,"forest",TRUE,TRUE,0.333041220035407,2.27953848546416,45.3991612815171,34.5454135031993,1.51316978896789,16.2627169408516,"H1_anthropogenic"
4104,"Ivano-Frankovskoye",49.91667,23.76667,6250,NA,NA,4375,"forest",FALSE,FALSE,0.171405350776878,0,19.602569139648,8.64991875914552,18.2255762332152,53.5219358679913,"H3_natural"
4118,"Liptovský Ján",49.04167,19.67778,6097,6097,NA,4880,"pastoral",TRUE,FALSE,0.411385177645617,1.3670081636779,21.7962241282643,2.99747832440076,7.92394079968358,65.9153485839735,"H1_anthropogenic"
4120,"Jasiel",49.3705,21.8875,6666,5773,4541,6666,"forest",TRUE,TRUE,0.556242651707118,0.626891359615224,24.1018617258542,18.3227366877215,8.02934008361059,48.9191701431985,"H1_anthropogenic"
4123,"Červené blato",NA,NA,6747,2347,993,6747,"forest",TRUE,TRUE,0.491749995435389,0.954277629596418,47.790675582457,7.16791897131368,12.4085510650312,31.6785767516017,"H1_anthropogenic"
4129,"Barbora",NA,NA,6608,6608,6169,6608,"pastoral",TRUE,TRUE,0.504650729699322,0.254694586829453,44.0134458106653,20.8820719113696,11.9325121605758,22.9172755305599,"H1_anthropogenic"
4154,"Kluki",54.70694,17.28472,6741,2239,5516,4605,"arable",TRUE,TRUE,0.400687309948118,4.46144523745738,44.4569121680066,3.41157272045422,16.0895876208101,31.5804822532717,"H1_anthropogenic"
4186,"Col des Lauzes",44.76722,6.53694,6553,4936,4007,NA,"pastoral",TRUE,TRUE,0.156632230480709,0.422892687795687,29.5450603731245,5.63297418748404,9.54122296793283,54.857849783663,"H1_anthropogenic"
