"datasetid","sitename","signal_onset_age","pastoral_baseline_mean","pastoral_threshold","pastoral_exceedance_age","pastoral_detected","arable_baseline_mean","arable_threshold","arable_exceedance_age","arable_detected","forest_baseline_mean","forest_threshold","forest_exceedance_age","forest_detected","leading_index","bc_total","bc_anthro_pct","bc_climate_tree_pct","bc_succession_tree_pct","bc_wetland_pct","bc_other_pct","classification"
19913,"Abborrtjärnen",1738,9e-04,0.0031,1672,TRUE,1e-04,6e-04,1672,TRUE,0.0063,-0.0076,NA,FALSE,"pastoral",0.3468,0.3,34.1,14.6,0.7,50.2,"H1_anthropogenic"
45349,"Afstj¢rna",1540,0.0035,0.0096,1540,TRUE,0.0014,0.0046,1383,TRUE,0.0139,-0.0056,NA,FALSE,"pastoral",0.2957,2.6,32.3,12.5,1.3,51.3,"H1_anthropogenic"
12,"Ageröds Mosse",5222,0.0048,0.0319,5032,TRUE,0,0,2449,TRUE,0.061,-0.0321,NA,FALSE,"pastoral",0.7651,0.3,33.5,1.3,50.4,14.6,"H1_anthropogenic"
3866,"Aholammi",2076,0.0059,0.0154,NA,FALSE,4e-04,0.0019,1247,TRUE,0.0181,-9e-04,NA,FALSE,"arable",0.3105,1.1,46.4,11,2,39.5,"H1_anthropogenic"
45314,"Alanen Laanijärvi",6122,0.0012,0.0038,6122,TRUE,2e-04,0.0017,NA,FALSE,0.0018,-0.0023,NA,FALSE,"pastoral",0.1528,2.4,60,7.2,1.6,28.7,"H1_anthropogenic"
45644,"Austerkjøsen",4676,0.0087,0.0366,NA,FALSE,1e-04,0.0011,NA,FALSE,0.0026,-0.0041,NA,FALSE,"none",0.3385,0.9,11.6,4.7,0.9,81.9,"H3_natural"
45650,"Austerkjøsen",4676,0.0087,0.0366,NA,FALSE,1e-04,0.0011,NA,FALSE,0.0026,-0.0041,NA,FALSE,"none",0.3385,0.9,11.6,4.7,0.9,81.9,"H3_natural"
20037,"Barheivatn",6161,0.0025,0.009,3210,TRUE,0,0,5977,TRUE,0.0011,-0.0012,NA,FALSE,"arable",0.2295,0.1,36.9,12.5,1.8,48.7,"H1_anthropogenic"
52429,"Belauer See",2348,0.0102,0.0192,2348,TRUE,0.001,0.0028,2335,TRUE,0.2597,0.112,100,TRUE,"pastoral",0.3499,11.7,37,8.8,1.1,41.3,"H1_anthropogenic"
3931,"Bjärsjöholmssjön",6522,0.0022,0.0052,6398,TRUE,0.0014,0.0038,5777,TRUE,0.3546,0.3385,5715,TRUE,"pastoral",0.1046,0.7,50.5,26.6,0.9,21.3,"H1_anthropogenic"
45642,"Bjørnfjelltjørn",2050,0.0144,0.0611,NA,FALSE,1e-04,8e-04,NA,FALSE,0.002,-0.0014,NA,FALSE,"none",0.3134,2,50.1,1.8,6.1,40.1,"H3_natural"
3937,"Blåvasstjønn",3501,0.0053,0.0162,NA,FALSE,0,0,2252,TRUE,0.0052,-0.0054,NA,FALSE,"arable",0.3122,0.7,50.1,7.1,1.4,40.7,"H1_anthropogenic"
20046,"Brurskardtjørni",3633,0.0052,0.0133,3633,TRUE,0,0,NA,FALSE,0.01,-0.0035,NA,FALSE,"pastoral",0.251,4.3,39.6,3.7,6.3,46.1,"H1_anthropogenic"
53995,"Bussjösjön",4975.2,0.0014,0.007,4816.9,TRUE,1e-04,9e-04,4659.3,TRUE,0.067,-0.0944,NA,FALSE,"pastoral",0.605,0.3,46,46.4,0.3,7.1,"H1_anthropogenic"
4011,"Dags Mosse",6622,0.0015,0.0041,6121,TRUE,0,4e-04,6121,TRUE,0.0318,0.0027,NA,FALSE,"pastoral",0.5059,0.1,36.4,3.2,3.5,56.8,"H1_anthropogenic"
45725,"Dalane",4373,0.0154,0.0292,2462,TRUE,0.0032,0.0114,2462,TRUE,0.0698,-0.0101,NA,FALSE,"pastoral",0.3023,2.2,43.9,21.3,1.1,31.4,"H1_anthropogenic"
20034,"Dalmutladdo",5219,0.0058,0.0183,NA,FALSE,2e-04,0.0012,5219,TRUE,0.0016,-0.0025,NA,FALSE,"arable",0.4978,0.7,77.3,0.8,0.6,20.6,"H1_anthropogenic"
22847,"Darzlubie Forest",5220,0.0118,0.0605,2688,TRUE,0.0029,0.007,2847,TRUE,0.0337,-0.0104,NA,FALSE,"arable",0.5058,3.3,25.1,28.8,11.9,30.8,"H1_anthropogenic"
4019,"Dolgoe",6470,0,0,6208,TRUE,0,0,6470,TRUE,0.001,-0.0031,NA,FALSE,"arable",0.3519,0.5,36.7,8.8,4.7,49.2,"H1_anthropogenic"
720,"Domsvatnet",2181,8e-04,0.0027,2181,TRUE,0,0,NA,FALSE,0.0013,-0.0019,NA,FALSE,"pastoral",0.3107,1.1,45.8,2.9,10.6,39.6,"H1_anthropogenic"
20012,"Donvold",4279,0.0015,0.004,4279,TRUE,0,0,2605,TRUE,0.0019,-0.0029,NA,FALSE,"pastoral",0.7152,0.6,17.2,0.1,64.3,17.7,"H1_anthropogenic"
49616,"Eini peatland",6906.988,0.0012,0.0059,6906.988,TRUE,0,0,6289.26,TRUE,0.0303,-0.0285,NA,FALSE,"pastoral",0.4835,0.8,47.2,12.3,4.7,35,"H1_anthropogenic"
49636,"Eipurs bog",6761.172,0.0019,0.0061,3037.049,TRUE,3e-04,0.0016,126.473,TRUE,0.0123,-0.0213,NA,FALSE,"pastoral",0.6614,0.2,27.4,37.8,19.5,15.1,"H1_anthropogenic"
4041,"Flaatevatn",3519,0.0078,0.0191,2170,TRUE,0,0,1204,TRUE,0.0208,0.0065,NA,FALSE,"pastoral",0.3747,0.4,27.3,8.5,26.3,37.4,"H1_anthropogenic"
54024,"Flinkasjön",6523.5,0.0067,0.0144,1400.3,TRUE,0.0019,0.0057,1400.3,TRUE,0.0725,-0.014,NA,FALSE,"pastoral",0.2193,1.2,58.1,29.4,0.1,11.2,"H1_anthropogenic"
45710,"Flotatjønn",6524,0.007,0.0143,3562,TRUE,0.0017,0.0057,2845,TRUE,0.0265,0.0056,682,TRUE,"pastoral",0.1724,2,34.6,14.9,1,47.5,"H1_anthropogenic"
4037,"Färskesjön",6683,0.013,0.0216,4245,TRUE,0.0046,0.0084,121,TRUE,0.0798,-0.0132,NA,FALSE,"pastoral",0.1689,1.7,44,37.5,0.3,16.5,"H1_anthropogenic"
53997,"Fårarps Mosse",1030.5,0.0041,0.0114,1030.5,TRUE,0.0013,0.0056,1030.5,TRUE,0.184,-0.0698,NA,FALSE,"pastoral",0.6482,13.1,28.2,8.2,4.8,45.6,"H1_anthropogenic"
45639,"Gammelheimenvatnet",6171,0.0031,0.0096,889,TRUE,0,0,4126,TRUE,0.0023,-0.0013,NA,FALSE,"arable",0.2951,0.7,58.9,10.5,0.2,29.6,"H1_anthropogenic"
53991,"Gilltjärnen",6840.238,0.0077,0.0175,4695.421,TRUE,3e-04,0.0016,6840.238,TRUE,0.0229,7e-04,NA,FALSE,"arable",0.1586,2.5,74.8,4.3,2,16.5,"H1_anthropogenic"
22815,"Godziszewskie Lake",5510,3e-04,0.0016,4668,TRUE,2e-04,0.0015,5090,TRUE,0.065,-0.0187,NA,FALSE,"arable",0.3241,0.1,46.5,39.2,1.8,12.5,"H1_anthropogenic"
977,"Grasvatn",6566,0.0129,0.0218,6223,TRUE,0,0,NA,FALSE,0.0273,-0.0495,NA,FALSE,"pastoral",0.2688,0.9,20.3,16.8,1.6,60.4,"H1_anthropogenic"
45728,"Grauthelleren",5984,0.0269,0.039,3188,TRUE,0.0025,0.0072,5001,TRUE,0.0726,0.0251,NA,FALSE,"arable",0.2054,5.9,32.8,24.9,2.4,34,"H1_anthropogenic"
49430,"Groter Warder",2972.154,0.0088,0.0214,2306.45,TRUE,0,0,2306.45,TRUE,0.1469,-0.1428,NA,FALSE,"pastoral",0.7049,0.5,25.3,3.4,4.4,66.4,"H1_anthropogenic"
49434,"Großer Eutiner See",1596,0.0078,0.0147,1271,TRUE,3e-04,0.0015,1596,TRUE,0.2802,-0.0177,NA,FALSE,"arable",0.4977,1.8,37.3,13.3,0.7,46.9,"H1_anthropogenic"
49457,"Großer Plöner See",2048,0.013,0.0235,2048,TRUE,0,0,2048,TRUE,0.2489,0.0089,NA,FALSE,"pastoral",0.4064,11,38.9,10.3,1.7,38,"H1_anthropogenic"
45698,"Haugtjernet",1644,0.0037,0.0092,1644,TRUE,0.002,0.0061,1098,TRUE,0.033,-0.0074,NA,FALSE,"pastoral",0.247,6.1,34.4,9.6,0.5,49.4,"H1_anthropogenic"
55439,"Hino",6958,0.0024,0.0085,5925,TRUE,0,0,3721,TRUE,0.0337,-0.0156,NA,FALSE,"pastoral",0.4116,0.5,45.3,13.8,8.8,31.5,"H1_anthropogenic"
4092,"Hirvilampi",6727,9e-04,0.0033,878,TRUE,0,3e-04,3347,TRUE,0.0396,-0.0077,NA,FALSE,"arable",0.2126,0.2,76.7,2.2,0.4,20.5,"H1_anthropogenic"
45716,"Holebudalen",6922,0.0233,0.0378,6132,TRUE,0.0011,0.0035,6593,TRUE,0.0192,0.0016,NA,FALSE,"arable",0.2886,1.6,27.3,8,1.5,61.5,"H1_anthropogenic"
21790,"Holtjärnen",4326,0.0073,0.0167,378,TRUE,0.0015,0.0053,378,TRUE,0.0229,0.0016,NA,FALSE,"pastoral",0.1904,1.7,65,11.5,2.9,18.8,"H1_anthropogenic"
4106,"Ilmen Lake",4279,0,0,NA,FALSE,0,0,1236,TRUE,0.0495,0.0086,646,TRUE,"arable",0.4085,0,27.9,9.3,2.2,60.5,"H1_anthropogenic"
4107,"Imatu Mire",6916,0.0016,0.0069,NA,FALSE,0,0,790,TRUE,0.0155,-0.0068,NA,FALSE,"arable",0.2429,0,51.5,33.4,3.1,11.9,"H1_anthropogenic"
45731,"Isbenttjønn",6949,0.0081,0.0135,6791,TRUE,4e-04,0.0018,6633,TRUE,0.0293,0.0058,793,TRUE,"pastoral",0.1619,2.6,41.3,21.7,2.5,31.9,"H1_anthropogenic"
22857,"Jezioro Druzno",3845,0.0022,0.0069,3312,TRUE,1e-04,0.0015,3710,TRUE,0.0468,-0.0562,NA,FALSE,"arable",0.6215,0.3,33.5,28.2,8,29.9,"H1_anthropogenic"
22950,"Jezioro Druzno",173,0.0015,0.0048,173,TRUE,0.0016,0.0054,173,TRUE,0.0986,-0.0057,NA,FALSE,"pastoral",0.5121,13,15.2,19,5.8,47,"H1_anthropogenic"
4133,"Kaarkotinlampi",1236,0.0021,0.0054,4,TRUE,1e-04,5e-04,1236,TRUE,0.0193,2e-04,NA,FALSE,"arable",0.2473,2,56.9,13.1,1.3,26.7,"H1_anthropogenic"
1434,"Kalsa Mire",5398,4e-04,0.0019,3196,TRUE,0,0,1325,TRUE,0.0335,-0.0188,NA,FALSE,"pastoral",0.4115,0.2,60.2,13.4,7.6,18.5,"H1_anthropogenic"
4136,"Kangerjoki",5049,5e-04,0.0019,5049,TRUE,1e-04,7e-04,424,TRUE,0.003,-0.0023,NA,FALSE,"pastoral",0.3777,0.6,27.6,1.1,45.1,25.6,"H1_anthropogenic"
1438,"Kansjön",5286,0.0016,0.0041,2246,TRUE,0,0,4525,TRUE,0.0663,-0.0396,NA,FALSE,"arable",0.2528,0.3,43.2,31.7,0.3,24.5,"H1_anthropogenic"
45701,"Kinnshaugen",5251,0.0028,0.0063,5251,TRUE,6e-04,0.0025,2732,TRUE,0.0415,-0.0152,NA,FALSE,"pastoral",0.2828,1.4,56.3,19.2,0.7,22.4,"H1_anthropogenic"
19909,"Klotjärnen",1049,0.0053,0.014,507,TRUE,0.0023,0.0109,NA,FALSE,0.0144,3e-04,NA,FALSE,"pastoral",0.3289,0.6,48.5,7.3,1.7,42,"H1_anthropogenic"
4154,"Kluki",6741,0.0053,0.014,2239,TRUE,0,0,5516,TRUE,0.0525,-0.0281,NA,FALSE,"arable",0.5676,0.3,38.3,3.1,8.8,49.4,"H1_anthropogenic"
58000,"Kokorevskoe",6050,0.0018,0.0071,5350,TRUE,7e-04,0.0037,845,TRUE,0.0344,-0.0266,NA,FALSE,"pastoral",0.5523,0.3,35.3,8.8,44.2,11.4,"H1_anthropogenic"
49472,"Kollsee",4408,0.0716,0.4089,NA,FALSE,4e-04,0.0013,4263,TRUE,0.205,0.0576,4408,TRUE,"forest",0.7033,5.1,9.3,11.1,54.3,20.2,"H1_anthropogenic"
59895,"Kosilovo",5937,0.0049,0.0138,1083,TRUE,0.0082,0.0246,539,TRUE,0.0703,-0.0708,NA,FALSE,"pastoral",0.4592,0.6,34.8,25,12.9,26.6,"H1_anthropogenic"
4162,"Krageholmssjön",6574,0.0014,0.0042,6574,TRUE,1e-04,6e-04,6574,TRUE,0.2279,0.0847,NA,FALSE,"pastoral",0.3153,0.8,45.6,38.7,0.4,14.4,"H1_anthropogenic"
23013,"Krageholmssjön",6253,0.0041,0.0081,6253,TRUE,0.0022,0.0054,3381,TRUE,0.1311,-0.0323,NA,FALSE,"pastoral",0.3179,1,47.7,39.3,1.2,10.7,"H1_anthropogenic"
4168,"Kuivajarvi",5158,0.0029,0.0081,3842,TRUE,5e-04,0.0026,2210,TRUE,0.0233,0.0084,1473,TRUE,"pastoral",0.2081,1,60.7,4.7,2.7,31,"H1_anthropogenic"
