"sitename","datasetid","climate_tree","other","pastoral_arable","succession_tree","wetland","total_bc","pastoral_arable_pct","climate_tree_pct","succession_tree_pct","wetland_pct","other_pct","classification","signal_onset_age","lat","lon"
"Abernethy Forest",3864,0.212031528949423,0.197601296054273,0.0278151802227015,0.0219714168187824,0.131514224205343,0.590933646250523,4.70698874555358,35.8807677130528,3.71808526358096,22.2553285025825,33.4388297752301,"H1_anthropogenic",6824,57.23528,-3.71056
"Abernethy Forest",3865,0.167383279406718,0.293164631437442,0.00338065891588218,0.010983154865007,0.0287082929279797,0.503620017553029,0.671271752125344,33.2360258871349,2.18084160323325,5.70038757940293,58.2114731781035,"H1_anthropogenic",6946,57.23528,-3.71056
"Allt na Feithe Sheilich",3879,0.0145815370836296,0.0789910244762304,0.0204393624575645,0.00614330234675647,0.0829585976117868,0.203113823975968,10.063009034768,7.17899786346144,3.02456141413759,40.8434029687721,38.8900287188609,"H1_anthropogenic",6886,57.31333,-3.90841
"Aveley marshes",41212,0.00636376646361157,0.234472965732109,0.00108369426452651,0.0339217997133948,0.00404035346654645,0.279882579640189,0.387196039824873,2.27372724368651,12.1200110978697,1.44358876202322,83.7754768565957,"H3_natural",6748,51.49222,0.2225
"Ballynahatty bog",45223,0.0874882848226415,0.1283711878965,0.0431437414917657,0.0628314997146606,0.0950842964198581,0.416919010345426,10.3482308125072,20.9844796355425,15.0704329031683,22.8064190071541,30.7904376416278,"H1_anthropogenic",5475,54.54417,-5.95306
"Cam Loch",3970,0.13244882922443,0.162521068729476,0.0615151207903114,0.0908977043687466,0.0580591640313207,0.505441887144285,12.1705625028167,26.2045613142112,17.9838091540677,11.4868129270709,32.1542541018335,"H1_anthropogenic",2783,NA,NA
"Church Moor",52113,0.00806223247790859,0.377420566860859,0.00128306624117642,0.0202062585149387,0.00574528557149395,0.412717409666376,0.310882509708908,1.95345102704191,4.89590650689357,1.39206281027452,91.4476971460811,"H3_natural",6939.939,50.86111,-1.65083
"Clara Bog",14177,0.126711197307094,0.132658895185485,0.00359275532652107,0.0881769175528586,0.0406932715568114,0.391833036928771,0.916909751837535,32.3380586538262,22.5036965346257,10.3853600185859,33.8559750411247,"H3_natural",6634,NA,NA
"Coire Bog",3993,0.00149798448156912,0.251498267634197,0.137552357868689,0.0066382966380355,0.108174858076444,0.505361764698935,27.2185922001112,0.296418246533061,1.3135731869209,21.4054298589227,49.7659865075121,"H1_anthropogenic",5642,57.83849,-4.38319
"Comerslade",41228,0.0569318852101971,0.157898298475337,0.010008087803777,0.0374727991408172,0.0169976815917924,0.27930875222192,3.58316297794538,20.383136853858,13.4162638451959,6.08562440545621,56.5318119175446,"H1_anthropogenic",6595,51.12028,-3.80472
