"datasetid","sitename","lat","lon","n_samples","n_baseline","signal_onset_age","persistent"
342,"Selle di Carnino",44.15,7.69444,31,4,5882,TRUE
3869,"Plan du Laus",44.24167,6.70222,47,26,6843,FALSE
3871,"Hières sur Amby",45.79083,5.28333,54,26,6907,TRUE
3872,"Ampoix",45.63333,2.93333,80,41,4953,TRUE
3875,"Amsoldingersee",46.725,7.575,31,6,6400,TRUE
3887,"Aronde",49.4625,2.69111,39,7,6531,TRUE
3892,"Altenweiher",48.01333,6.99444,83,26,6969,TRUE
3893,"Atxuri",43.25028,-1.55111,32,3,5790,TRUE
3894,"Auneau",48.45611,1.79361,62,23,6888,FALSE
3900,"Basse-Ville",47.18611,-1.85806,114,32,6947,TRUE
3910,"Puerto de Belate",43.03333,-2.05,60,32,5878,FALSE
3911,"Puerto de Belate",43.03333,-2.05,35,3,6911,TRUE
3930,"Biot",43.8,7.1,49,32,5617,FALSE
3935,"Bláto",49.04174,15.19097,34,12,6821,TRUE
3938,"Bledowo Lake",52.54316,20.67577,253,107,5207,TRUE
3946,"Boehnigsee Goldmoos",46.25917,7.84306,83,41,6371,TRUE
3951,"Saint Michel de Braspart",48.41667,-3.66667,37,10,6177,TRUE
3972,"La Caudelais",47.25444,-1.80028,158,42,6859,TRUE
3973,"Vallon de Provence",44.39111,6.40417,59,25,6879,TRUE
3977,"Lac de Chambedaze",45.44444,2.87528,71,14,6664,TRUE
3979,"Bois de la Masse",45.50139,2.74472,57,24,4998,FALSE
4007,"Czajkow",NA,NA,168,22,2450,FALSE
4008,"Czajkow",NA,NA,101,32,6519,FALSE
4009,"Czajkow",NA,NA,84,16,5764,FALSE
4024,"Dürrenecksee-Moor",47.16667,13.86667,44,11,NA,FALSE
4025,"Dvůr Anšov",NA,NA,46,14,4689,TRUE
4028,"Embouchac",43.56639,3.91667,188,59,6502,FALSE
4029,"Ennerie",47.24028,-2,59,37,6944,FALSE
4043,"Fletnowo",53.53813,18.64588,65,22,4836,TRUE
4045,"Flögeln",NA,NA,95,16,5822,TRUE
4056,"Le Fourneau",48.44444,-0.19167,31,6,6663,TRUE
4058,"Fuchsschwanzmoos",47.11667,13.9,45,16,6882,TRUE
4059,"Giecz",52.32201,17.3655,71,10,6300,TRUE
4064,"Bois des Gardes",45.41667,2.7,71,21,6277,TRUE
4086,"Hawks Tor",NA,NA,47,27,6294,TRUE
4095,"Hockham Mere",52.5,0.83333,111,79,6926,TRUE
4104,"Ivano-Frankovskoye",49.91667,23.76667,32,10,6250,TRUE
4118,"Liptovský Ján",49.04167,19.67778,68,18,6097,TRUE
4120,"Jasiel",49.3705,21.8875,31,7,6666,TRUE
4123,"Červené blato",NA,NA,30,9,6747,TRUE
4129,"Barbora",NA,NA,103,44,6608,TRUE
4154,"Kluki",54.70694,17.28472,75,18,6741,TRUE
4186,"Col des Lauzes",44.76722,6.53694,46,8,6553,TRUE
4192,"Lake Lednica",52.54901,17.38084,81,17,3666,FALSE
4193,"Lake Lednica",52.54901,17.38084,102,27,3738,FALSE
4194,"Leikishke Bog",54.53333,23.53333,35,14,5843,FALSE
4195,"Leikishke Bog",54.53333,23.53333,42,19,4850,FALSE
4211,"Lac Long Inférieur",44.05778,7.45,23,7,6168,TRUE
4213,"Lobsigensee",47.03056,7.29806,83,23,2006,FALSE
4215,"Locmariaquer",47.55444,-2.93222,34,16,6882,TRUE
4507,"Vallon de Provence",44.39111,6.40417,48,25,3453,TRUE
24084,"Švarcenberk",NA,NA,49,23,6855,TRUE
24086,"Švarcenberk",NA,NA,28,12,6969,TRUE
24089,"Komořanské jezero",NA,NA,36,14,6159,TRUE
24256,"Borkovická blata",NA,NA,48,17,7000,TRUE
25279,"Clapeyret",44.15028,7.24333,43,9,6136,TRUE
25285,"Hières sur Amby",45.79083,5.28333,104,39,6775,TRUE
40627,"Aegelsee",46.64583,7.54333,67,27,6982,FALSE
42719,"Le Grand Etang de Suze-La-Rousse",44.32389,4.83361,20,12,6687,FALSE
52645,"Lobsigensee",47.03056,7.29806,29,10,6814,TRUE
52648,"Lobsigensee",47.03056,7.29806,102,25,5726,FALSE
52652,"Lobsigensee",47.03056,7.29806,20,17,NA,FALSE
68809,"Lobsigensee",47.03056,7.29806,105,13,6820.12,TRUE
