"datasetid","sitename","lat","lon","n_samples","n_baseline","signal_onset_age","persistent","baseline_bc_mean","baseline_bc_sd","threshold","signal_onset_bc","n_exceed_after_onset","pct_exceed_after"
19913,"Abborrtjärnen",63.88333,14.45,106,24,1738,FALSE,0.1766,0.0786,0.3337,0.3468,8,47.1
45349,"Afstj¢rna",61.64917,9.87667,41,11,1540,TRUE,0.14,0.0627,0.2655,0.2957,13,100
12,"Ageröds Mosse",NA,NA,135,59,5222,FALSE,0.3555,0.1485,0.6525,0.7651,16,26.2
3866,"Aholammi",61.8947,25.21692,41,15,2076,FALSE,0.116,0.0651,0.2461,0.3105,2,40
20,"Akuvaara",69.12326,27.67406,30,10,NA,FALSE,0.2461,0.0869,0.4199,NA,0,0
45314,"Alanen Laanijärvi",67.96611,20.46028,55,13,6122,FALSE,0.0864,0.0278,0.1419,0.1528,11,31.4
45644,"Austerkjøsen",NA,NA,37,14,4676,TRUE,0.231,0.0533,0.3376,0.3385,10,55.6
45650,"Austerkjøsen",NA,NA,37,14,4676,TRUE,0.231,0.0533,0.3376,0.3385,10,55.6
20037,"Barheivatn",NA,NA,41,9,6161,FALSE,0.1394,0.0402,0.2198,0.2295,13,46.4
52429,"Belauer See",54.09854,10.25111,532,86,2348,TRUE,0.1602,0.0873,0.3347,0.3499,175,81
3931,"Bjärsjöholmssjön",NA,NA,118,12,6522,TRUE,0.0497,0.0135,0.0767,0.1046,102,99
45642,"Bjørnfjelltjørn",68.44417,18.07167,57,18,2050,FALSE,0.1792,0.0456,0.2704,0.3134,2,18.2
3937,"Blåvasstjønn",NA,NA,35,16,3501,TRUE,0.1746,0.0466,0.2679,0.3122,6,60
20046,"Brurskardtjørni",61.41667,8.66667,57,14,3633,TRUE,0.147,0.049,0.245,0.251,15,71.4
317,"Bruvatnet [Rovvejávri]",NA,NA,29,8,NA,FALSE,0.1114,0.0652,0.2419,NA,0,0
53995,"Bussjösjön",55.46667,13.81667,66,17,4975.2,TRUE,0.3994,0.1006,0.6006,0.605,25,67.6
4011,"Dags Mosse",58.32288,14.70652,124,29,6622,TRUE,0.2716,0.1142,0.4999,0.5059,75,83.3
45725,"Dalane",NA,NA,52,9,4373,TRUE,0.145,0.0589,0.2629,0.3023,29,87.9
20034,"Dalmutladdo",69.16667,20.71667,68,21,5219,FALSE,0.2527,0.119,0.4908,0.4978,1,2.9
22847,"Darzlubie Forest",54.70555,18.16208,64,20,5220,TRUE,0.2736,0.0737,0.421,0.5058,38,95
4019,"Dolgoe",55.23333,28.18333,43,13,6470,TRUE,0.1584,0.06,0.2784,0.3519,20,71.4
720,"Domsvatnet",NA,NA,30,10,2181,FALSE,0.1418,0.0709,0.2836,0.3107,1,16.7
