"siteid","sitename","lat","lon","ambrosia_onset_bp","ambrosia_explosion_bp","ambrosia_precontact","ambrosia_postcontact","ambrosia_at_contact","ambrosia_phase2","ambrosia_phase2_age","max_ambrosia_pct","max_ambrosia_age"
7,"Three Pines Bog",47,-80.11667,90,6485,TRUE,FALSE,FALSE,FALSE,NA,5.25,50
196,"Hells Kitchen Lake",46.185826,-89.703082,1392,10090,TRUE,FALSE,TRUE,FALSE,NA,11.87,18
197,"Lake Mary",46.25,-89.9,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,2.86,9846
203,"Anderson Pond",36.02963,-85.501848,175,16297,TRUE,FALSE,FALSE,TRUE,NA,24.61,-22
208,"Lac à l'Ange",47.48167,-70.68472,NA,10939,TRUE,FALSE,FALSE,FALSE,NA,0.04,10930
217,"Lac des Atocas",45.54306,-73.31111,NA,11046,TRUE,FALSE,FALSE,FALSE,NA,0.17,11046
219,"Axe Lake",45.38,-79.51,228,228,FALSE,TRUE,FALSE,FALSE,NA,5.08,-17
229,"Barchampe Lake",30.62222,-83.25389,42,42,FALSE,TRUE,FALSE,FALSE,NA,2.07,42
232,"Barry Lake",44.3,-77.91667,113,10311,TRUE,FALSE,FALSE,TRUE,13,14.37,-17
233,"Baseball Bog",47.23,-79.78,57,57,FALSE,TRUE,FALSE,FALSE,NA,3.1,57
235,"Lac Bastien",46.4,-78.91667,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0,8885
245,"Beckman Lake",45.425,-93.18333,110,8659,TRUE,FALSE,FALSE,TRUE,NA,37.63,110
249,"Belmont Bog",42.25,-77.91667,99,15286,TRUE,FALSE,FALSE,FALSE,NA,0.46,0
254,"Berry Pond",42.5,-73.31667,187,11341,TRUE,FALSE,FALSE,FALSE,NA,7.98,84
266,"Big John Pond",47.558974,-94.971068,56,56,FALSE,TRUE,FALSE,FALSE,NA,4.18,56
268,"Big Pond",39.76667,-78.55,133,133,FALSE,TRUE,FALSE,FALSE,NA,3.91,0
269,"Billy's Lake",46.270324,-94.55197,NA,11372,TRUE,FALSE,FALSE,FALSE,NA,14.52,9714
275,"BL-Tombigbee",33.56333,-88.47444,127,10702,TRUE,FALSE,FALSE,TRUE,0,9.52,0
281,"Blue Mounds Creek",43.08333,-89.86667,NA,10603,TRUE,FALSE,FALSE,FALSE,NA,22.91,8429
300,"Lac Boucané",47.45778,-69.45278,NA,11187,TRUE,FALSE,FALSE,FALSE,NA,0.08,11187
