"siteid","sitename","lat","lon","is_zea_target","n_samples","n_baseline","n_test","n_taxa","bc_mean_baseline","bc_sd_baseline","threshold","has_signal","onset_age_bp","max_bc","max_bc_age","classification","pct_agricultural","pct_disturbance","pct_deciduous","pct_coniferous","pct_other","ambrosia_onset_bp","ambrosia_explosion_bp","ambrosia_precontact","ambrosia_postcontact","ambrosia_at_contact","ambrosia_phase2","ambrosia_phase2_age","max_ambrosia_pct","max_ambrosia_age","has_zea","zea_first_age_bp","zea_max_pct","zea_max_age_bp","zea_exceeds_baseline","zea_exceedance_age_bp","has_chenopod","chenopod_max_pct","recovery_signal","bc_precontact_mean","bc_postcontact_mean","bc_rerise_mean","has_rerise"
7,"Three Pines Bog",47,-80.11667,FALSE,41,24,16,48,0.1806,0.0966,0.3739,TRUE,222,0.4444,10,"H3_natural",0,2,21.7,56.5,19.8,90,6485,TRUE,FALSE,FALSE,FALSE,NA,5.25,50,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.2638,0.3848,0.3892,TRUE
196,"Hells Kitchen Lake",46.185826,-89.703082,FALSE,123,21,99,68,0.1933,0.0604,0.314,TRUE,2046,0.8421,137,"H3_natural",0,1.8,15.7,49.3,33.2,1392,10090,TRUE,FALSE,TRUE,FALSE,NA,11.87,18,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.6298,0.7374,0.7338,FALSE
197,"Lake Mary",46.25,-89.9,FALSE,28,24,4,26,0.2838,0.0662,0.4162,TRUE,1675,0.4558,1675,"H3_natural",0,1.3,26.8,66.7,5.3,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,2.86,9846,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
203,"Anderson Pond",36.02963,-85.501848,FALSE,134,107,24,115,0.4554,0.1179,0.6911,TRUE,187,0.7845,142,"H3_natural",0,4.3,22.9,43.9,28.8,175,16297,TRUE,FALSE,FALSE,TRUE,NA,24.61,-22,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
208,"Lac à l'Ange",47.48167,-70.68472,FALSE,57,52,5,92,0.055,0.0493,0.1537,FALSE,NA,0.0467,1814,"no_signal",0,0.4,0.7,2.9,96,NA,10939,TRUE,FALSE,FALSE,FALSE,NA,0.04,10930,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
217,"Lac des Atocas",45.54306,-73.31111,FALSE,48,37,11,65,0.047,0.0529,0.1527,FALSE,NA,0.0267,1665,"no_signal",0,1.1,16.6,36.2,46.2,NA,11046,TRUE,FALSE,FALSE,FALSE,NA,0.17,11046,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.0136,0.0188,0.02,TRUE
219,"Axe Lake",45.38,-79.51,FALSE,37,25,11,43,0.3618,0.088,0.5377,FALSE,NA,0.4775,485,"no_signal",0,4.5,33.3,49.1,13.1,228,228,FALSE,TRUE,FALSE,FALSE,NA,5.08,-17,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
229,"Barchampe Lake",30.62222,-83.25389,TRUE,64,14,48,88,0.1768,0.0898,0.3563,TRUE,2655,0.7368,243,"H3_natural",0,1.8,9.1,76.9,12.2,42,42,FALSE,TRUE,FALSE,FALSE,NA,2.07,42,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.5882,0.5696,0.541,FALSE
232,"Barry Lake",44.3,-77.91667,TRUE,51,36,14,60,0.36,0.0667,0.4934,FALSE,NA,0.4165,13,"no_signal",0,16.2,19,49,15.8,113,10311,TRUE,FALSE,FALSE,TRUE,13,14.37,-17,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.2509,0.3251,0.3372,TRUE
233,"Baseball Bog",47.23,-79.78,FALSE,40,29,10,48,0.3786,0.0659,0.5105,FALSE,NA,0.3787,1965,"no_signal",0,3.3,24,48.4,24.3,57,57,FALSE,TRUE,FALSE,FALSE,NA,3.1,57,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.2098,0.2553,0.269,TRUE
235,"Lac Bastien",46.4,-78.91667,FALSE,67,48,18,73,0.0026,7e-04,0.004,TRUE,1279,0.0042,444,"H3_natural",0,0.4,36.3,23.8,39.5,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0,8885,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.0035,0.0031,0.003,FALSE
